Time,Size,Sex,Total
19969.520584339727,2910,F,10871
19969.544103850065,2911,F,10867
19969.548865168912,2912,F,10868
19969.565168629306,2913,F,10867
19969.56645604816,2914,F,10868
19969.57397056316,2915,F,10869
19969.575233861433,2916,F,10871
19969.575975273343,2917,F,10872
19969.58028816957,2918,F,10873
19969.583572914944,2919,F,10873
19969.596235292254,2920,F,10870
19969.60779171236,2921,F,10871
19969.62373885896,2922,F,10868
19969.625573884896,2923,F,10869
19969.667924264915,2924,F,10862
19969.67469190602,2925,F,10861
19969.69976506864,2926,F,10862
19969.70209669522,2927,F,10863
19969.709862085325,2928,F,10862
19969.71386353654,2929,F,10864
19969.74577689428,2930,F,10866
19969.76488291796,2931,F,10866
19969.786643126186,2932,F,10864
19969.794082775792,2933,F,10865
19969.794885175164,2934,F,10865
19969.80790537414,2935,F,10865
19969.825676518736,2936,F,10866
19969.828092552725,2937,F,10866
19969.852919249835,2938,F,10861
19969.882116352695,2939,F,10861
19969.883101467145,2940,F,10861
19969.91199594806,2941,F,10858
19969.91917866128,2942,F,10859
19969.920089070874,2943,F,10860
19969.941473232913,2944,F,10863
19969.97130148627,2945,F,10864
19969.97313878917,2946,F,10865
19969.980777575787,2947,F,10863
19969.981201948005,2948,F,10864
19970.009076957936,2949,F,10862
19970.034022113192,2950,F,10863
19970.04869253256,2951,F,10863
19970.049915134816,2952,F,10865
19970.05085457981,2953,F,10866
19970.074370771643,2954,F,10863
19970.116617001124,2955,F,10856
19970.136281041836,2956,F,10858
19970.14850692684,2957,F,10858
19970.190538070747,2958,F,10856
19970.247436677648,2959,F,10860
19970.249075761654,2960,F,10860
19970.260762517977,2961,F,10860
19970.26290402517,2962,F,10862
19970.26935528003,2963,F,10860
19970.273266671233,2964,F,10861
19970.275074245375,2965,F,10862
19970.296497155985,2966,F,10864
19970.354106634913,2967,F,10865
19970.35710955252,2968,F,10868
19970.371073690534,2969,F,10871
19970.40682792442,2970,F,10868
19970.420742522707,2971,F,10867
19970.42678640679,2972,F,10867
19970.446364718566,2973,F,10870
19970.447487064128,2974,F,10871
19970.478850284322,2975,F,10871
19970.480355644497,2976,F,10872
19970.48060793556,2977,F,10873
19970.49814634776,2978,F,10876
19970.522553090843,2979,F,10874
19970.527258662343,2980,F,10875
19970.562384844758,2981,F,10877
19970.568279422016,2982,F,10881
19970.596980854873,2983,F,10882
19970.655229607866,2984,F,10888
19970.661984317343,2985,F,10889
19970.74291468424,2986,F,10874
19970.7452554221,2987,F,10875
19970.75569042824,2988,F,10875
19970.756062935005,2989,F,10876
19970.76836053052,2990,F,10876
19970.781728150578,2991,F,10877
19970.78373253859,2992,F,10878
19970.792913013935,2993,F,10879
19970.802025000663,2994,F,10877
19970.804490764476,2995,F,10879
19970.816010686307,2996,F,10880
19970.83245081399,2997,F,10876
19970.832791920162,2998,F,10877
19970.842457889434,2999,F,10878
19970.859944529428,3000,F,10878
19970.869907544457,3001,F,10879
19970.91091063276,3002,F,10884
19970.927029927632,3003,F,10878
19970.94781934278,3004,F,10880
19970.957561634834,3005,F,10881
19970.986026142604,3006,F,10885
19970.98780499944,3007,F,10886
19971.009450333255,3008,F,10877
19971.032753208245,3009,F,10869
19971.05876332598,3010,F,10867
19971.06318036419,3011,F,10868
19971.074409297096,3012,F,10867
19971.087196055527,3013,F,10868
19971.13694311696,3014,F,10859
19971.15689354472,3015,F,10855
19971.172239753443,3016,F,10855
19971.181734453196,3017,F,10855
19971.24994860395,3018,F,10851
19971.25963284253,3019,F,10853
19971.26137224914,3020,F,10853
19971.266360642054,3021,F,10853
19971.277085729285,3022,F,10857
19971.294048135416,3023,F,10854
19971.307465782724,3024,F,10856
19971.32205120698,3025,F,10862
19971.34623400964,3026,F,10864
19971.35303418197,3027,F,10862
19971.360064290606,3028,F,10863
19971.361831553873,3029,F,10864
19971.367663080156,3030,F,10864
19971.371577648242,3031,F,10863
19971.373997584244,3032,F,10862
19971.380736799976,3033,F,10861
19971.3883914156,3034,F,10864
19971.48034046773,3035,F,10866
19971.49074982031,3036,F,10867
19971.534164114233,3037,F,10870
19971.561147575423,3038,F,10876
19971.572315901794,3039,F,10874
19971.611400880527,3040,F,10880
19971.62698274994,3041,F,10882
19971.660496064807,3042,F,10881
19971.66657241645,3043,F,10881
19971.672839282895,3044,F,10882
19971.674889510145,3045,F,10883
19971.678516650456,3046,F,10885
19971.679303105553,3047,F,10885
19971.711934410538,3048,F,10886
19971.73799557647,3049,F,10886
19971.745077091975,3050,F,10886
19971.760364955997,3051,F,10885
19971.898535004082,3052,F,10895
19971.9518829283,3053,F,10894
19971.961467005905,3054,F,10893
19971.986104589425,3055,F,10894
19971.993765453793,3056,F,10891
19972.014594290176,3057,F,10891
19972.01818328381,3058,F,10890
19972.027563738964,3059,F,10889
19972.058762311503,3060,F,10885
19972.05927908191,3061,F,10886
19972.073338549744,3062,F,10886
19972.081844872475,3063,F,10883
19972.09047709516,3064,F,10886
19972.107020488173,3065,F,10886
19972.11801299954,3066,F,10888
19972.123360158126,3067,F,10890
19972.134106010264,3068,F,10893
19972.14019547147,3069,F,10892
19972.14421912753,3070,F,10891
19972.1741409388,3071,F,10888
19972.176771376387,3072,F,10891
19972.180311462227,3073,F,10891
19972.188560239032,3074,F,10891
19972.194457560057,3075,F,10892
19972.20849276262,3076,F,10895
19972.28345676753,3077,F,10897
19972.31350017996,3078,F,10896
19972.347769368203,3079,F,10900
19972.35175530895,3080,F,10898
19972.37339384936,3081,F,10895
19972.399080784406,3082,F,10890
19972.399371670865,3083,F,10891
19972.423880269653,3084,F,10894
19972.42425029913,3085,F,10895
19972.427577266015,3086,F,10897
19972.430497323872,3087,F,10898
19972.46318326517,3088,F,10898
19972.468890954922,3089,F,10899
19972.47534878895,3090,F,10900
19972.477809644977,3091,F,10901
19972.529553817367,3092,F,10891
19972.579245079774,3093,F,10894
19972.607311492568,3094,F,10897
19972.607747493657,3095,F,10898
19972.622075799296,3096,F,10902
19972.626625913243,3097,F,10900
19972.65159542191,3098,F,10898
19972.707980325464,3099,F,10905
19972.71006711569,3100,F,10905
19972.711426492282,3101,F,10906
19972.715993084123,3102,F,10907
19972.720937916132,3103,F,10910
19972.726507548854,3104,F,10907
19972.74206456821,3105,F,10910
19972.749764457203,3106,F,10912
19972.77074506475,3107,F,10912
19972.7997463932,3108,F,10909
19972.800571479438,3109,F,10910
19972.807385556018,3110,F,10911
19972.83895004414,3111,F,10911
19972.8401342935,3112,F,10912
19972.900037333977,3113,F,10909
19972.935651353804,3114,F,10906
19972.993734652937,3115,F,10891
19972.998764591135,3116,F,10892
19973.00826849302,3117,F,10892
19973.011900057245,3118,F,10892
19973.03833302445,3119,F,10891
19973.05634595352,3120,F,10885
19973.140390207805,3121,F,10877
19973.14050689299,3122,F,10878
19973.144109598128,3123,F,10879
19973.154702800795,3124,F,10882
19973.183139825345,3125,F,10884
19973.191958353735,3126,F,10886
19973.219001702877,3127,F,10886
19973.230180621504,3128,F,10887
19973.24972154026,3129,F,10887
19973.26700959956,3130,F,10886
19973.274514155706,3131,F,10889
19973.301065888358,3132,F,10886
19973.330354915175,3133,F,10889
19973.343017021925,3134,F,10886
19973.37046715363,3135,F,10880
19973.375809644775,3136,F,10880
19973.380035799164,3137,F,10881
19973.38046529662,3138,F,10882
19973.384068202642,3139,F,10884
19973.392762761137,3140,F,10887
19973.404646890463,3141,F,10888
19973.420727762517,3142,F,10889
19973.43091946276,3143,F,10892
19973.466421099798,3144,F,10892
19973.48299364645,3145,F,10890
19973.48475193366,3146,F,10891
19973.502315440313,3147,F,10893
19973.503665036864,3148,F,10893
19973.51025604975,3149,F,10895
19973.510636223178,3150,F,10896
19973.533846299248,3151,F,10898
19973.5341807821,3152,F,10898
19973.5496938275,3153,F,10898
19973.60888156736,3154,F,10893
19973.612995669733,3155,F,10896
19973.64642198872,3156,F,10894
19973.64874724558,3157,F,10897
19973.655039586258,3158,F,10896
19973.662176468046,3159,F,10898
19973.67337463073,3160,F,10898
19973.689843374497,3161,F,10901
19973.707891370872,3162,F,10902
19973.797590491242,3163,F,10899
19973.800131081014,3164,F,10901
19973.81931902473,3165,F,10902
19973.83310890923,3166,F,10900
19973.849041983794,3167,F,10903
19973.85323325104,3168,F,10901
19973.877594991576,3169,F,10901
19973.878682952178,3170,F,10902
19973.916493703517,3171,F,10903
19973.920962058444,3172,F,10904
19973.972014409228,3173,F,10900
19973.973058729323,3174,F,10901
19973.980348080837,3175,F,10903
19974.020090922982,3176,F,10901
19974.035626262576,3177,F,10900
19974.05724112949,3178,F,10903
19974.070109883996,3179,F,10904
19974.071381640893,3180,F,10904
19974.100871422972,3181,F,10902
19974.103787923013,3182,F,10901
19974.119634653503,3183,F,10902
19974.14145383035,3184,F,10903
19974.15443928209,3185,F,10905
19974.17185658584,3186,F,10906
19974.19534471067,3187,F,10904
19974.197616087,3188,F,10907
19974.210021020695,3189,F,10905
19974.211716643447,3190,F,10906
19974.217915320285,3191,F,10906
19974.24958689942,3192,F,10905
19974.26400963045,3193,F,10907
19974.282218398013,3194,F,10902
19974.283479864313,3195,F,10904
19974.28923243896,3196,F,10903
